hlpi_name,series_ref,quarter,hlpi,nzhec,nzhec_name,nzhec_short,level,index,change.q,change.a
All households,HPIQ.SALL01,2008Q2,allhh,1,Food,Food,group,870,NA,NA
Beneficiary,HPIQ.SBEN01,2008Q2,benef,1,Food,Food,group,869,NA,NA
Income quintile 1 (low),HPIQ.SIQ101,2008Q2,disq1,1,Food,Food,group,869,NA,NA
Income quintile 2,HPIQ.SIQ201,2008Q2,disq2,1,Food,Food,group,869,NA,NA
Income quintile 3,HPIQ.SIQ301,2008Q2,disq3,1,Food,Food,group,872,NA,NA
Income quintile 4,HPIQ.SIQ401,2008Q2,disq4,1,Food,Food,group,870,NA,NA
Income quintile 5 (high),HPIQ.SIQ501,2008Q2,disq5,1,Food,Food,group,871,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ101,2008Q2,expq1,1,Food,Food,group,868,NA,NA
Expenditure quintile 2,HPIQ.SEQ201,2008Q2,expq2,1,Food,Food,group,870,NA,NA
Expenditure quintile 3,HPIQ.SEQ301,2008Q2,expq3,1,Food,Food,group,868,NA,NA
Expenditure quintile 4,HPIQ.SEQ401,2008Q2,expq4,1,Food,Food,group,871,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ501,2008Q2,expq5,1,Food,Food,group,872,NA,NA
Maori,HPIQ.SMAO01,2008Q2,maori,1,Food,Food,group,870,NA,NA
Superannuitant,HPIQ.SSUP01,2008Q2,super,1,Food,Food,group,867,NA,NA
All households,HPIQ.SALL011,2008Q2,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,868,NA,NA
Beneficiary,HPIQ.SBEN011,2008Q2,benef,1.1,Fruit and vegetables,Fruit & veg,subgroup,883,NA,NA
Income quintile 1 (low),HPIQ.SIQ1011,2008Q2,disq1,1.1,Fruit and vegetables,Fruit & veg,subgroup,877,NA,NA
Income quintile 2,HPIQ.SIQ2011,2008Q2,disq2,1.1,Fruit and vegetables,Fruit & veg,subgroup,868,NA,NA
Income quintile 3,HPIQ.SIQ3011,2008Q2,disq3,1.1,Fruit and vegetables,Fruit & veg,subgroup,872,NA,NA
Income quintile 4,HPIQ.SIQ4011,2008Q2,disq4,1.1,Fruit and vegetables,Fruit & veg,subgroup,863,NA,NA
Income quintile 5 (high),HPIQ.SIQ5011,2008Q2,disq5,1.1,Fruit and vegetables,Fruit & veg,subgroup,862,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1011,2008Q2,expq1,1.1,Fruit and vegetables,Fruit & veg,subgroup,888,NA,NA
Expenditure quintile 2,HPIQ.SEQ2011,2008Q2,expq2,1.1,Fruit and vegetables,Fruit & veg,subgroup,876,NA,NA
Expenditure quintile 3,HPIQ.SEQ3011,2008Q2,expq3,1.1,Fruit and vegetables,Fruit & veg,subgroup,851,NA,NA
Expenditure quintile 4,HPIQ.SEQ4011,2008Q2,expq4,1.1,Fruit and vegetables,Fruit & veg,subgroup,861,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5011,2008Q2,expq5,1.1,Fruit and vegetables,Fruit & veg,subgroup,864,NA,NA
Maori,HPIQ.SMAO011,2008Q2,maori,1.1,Fruit and vegetables,Fruit & veg,subgroup,885,NA,NA
Superannuitant,HPIQ.SSUP011,2008Q2,super,1.1,Fruit and vegetables,Fruit & veg,subgroup,869,NA,NA
All households,HPIQ.SALL012,2008Q2,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,869,NA,NA
Beneficiary,HPIQ.SBEN012,2008Q2,benef,1.2,"Meat, poultry and fish",Meat,subgroup,853,NA,NA
Income quintile 1 (low),HPIQ.SIQ1012,2008Q2,disq1,1.2,"Meat, poultry and fish",Meat,subgroup,860,NA,NA
Income quintile 2,HPIQ.SIQ2012,2008Q2,disq2,1.2,"Meat, poultry and fish",Meat,subgroup,860,NA,NA
Income quintile 3,HPIQ.SIQ3012,2008Q2,disq3,1.2,"Meat, poultry and fish",Meat,subgroup,867,NA,NA
Income quintile 4,HPIQ.SIQ4012,2008Q2,disq4,1.2,"Meat, poultry and fish",Meat,subgroup,877,NA,NA
Income quintile 5 (high),HPIQ.SIQ5012,2008Q2,disq5,1.2,"Meat, poultry and fish",Meat,subgroup,884,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1012,2008Q2,expq1,1.2,"Meat, poultry and fish",Meat,subgroup,855,NA,NA
Expenditure quintile 2,HPIQ.SEQ2012,2008Q2,expq2,1.2,"Meat, poultry and fish",Meat,subgroup,865,NA,NA
Expenditure quintile 3,HPIQ.SEQ3012,2008Q2,expq3,1.2,"Meat, poultry and fish",Meat,subgroup,868,NA,NA
Expenditure quintile 4,HPIQ.SEQ4012,2008Q2,expq4,1.2,"Meat, poultry and fish",Meat,subgroup,880,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5012,2008Q2,expq5,1.2,"Meat, poultry and fish",Meat,subgroup,883,NA,NA
Maori,HPIQ.SMAO012,2008Q2,maori,1.2,"Meat, poultry and fish",Meat,subgroup,854,NA,NA
Superannuitant,HPIQ.SSUP012,2008Q2,super,1.2,"Meat, poultry and fish",Meat,subgroup,857,NA,NA
All households,HPIQ.SALL013,2008Q2,allhh,1.3,Grocery food,Grocery food,subgroup,882,NA,NA
Beneficiary,HPIQ.SBEN013,2008Q2,benef,1.3,Grocery food,Grocery food,subgroup,877,NA,NA
Income quintile 1 (low),HPIQ.SIQ1013,2008Q2,disq1,1.3,Grocery food,Grocery food,subgroup,877,NA,NA
Income quintile 2,HPIQ.SIQ2013,2008Q2,disq2,1.3,Grocery food,Grocery food,subgroup,882,NA,NA
Income quintile 3,HPIQ.SIQ3013,2008Q2,disq3,1.3,Grocery food,Grocery food,subgroup,885,NA,NA
Income quintile 4,HPIQ.SIQ4013,2008Q2,disq4,1.3,Grocery food,Grocery food,subgroup,883,NA,NA
Income quintile 5 (high),HPIQ.SIQ5013,2008Q2,disq5,1.3,Grocery food,Grocery food,subgroup,883,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1013,2008Q2,expq1,1.3,Grocery food,Grocery food,subgroup,872,NA,NA
Expenditure quintile 2,HPIQ.SEQ2013,2008Q2,expq2,1.3,Grocery food,Grocery food,subgroup,882,NA,NA
Expenditure quintile 3,HPIQ.SEQ3013,2008Q2,expq3,1.3,Grocery food,Grocery food,subgroup,888,NA,NA
Expenditure quintile 4,HPIQ.SEQ4013,2008Q2,expq4,1.3,Grocery food,Grocery food,subgroup,884,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5013,2008Q2,expq5,1.3,Grocery food,Grocery food,subgroup,887,NA,NA
Maori,HPIQ.SMAO013,2008Q2,maori,1.3,Grocery food,Grocery food,subgroup,880,NA,NA
Superannuitant,HPIQ.SSUP013,2008Q2,super,1.3,Grocery food,Grocery food,subgroup,881,NA,NA
All households,HPIQ.SALL014,2008Q2,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,859,NA,NA
Beneficiary,HPIQ.SBEN014,2008Q2,benef,1.4,Non-alcoholic beverages,Soft drinks,subgroup,866,NA,NA
Income quintile 1 (low),HPIQ.SIQ1014,2008Q2,disq1,1.4,Non-alcoholic beverages,Soft drinks,subgroup,860,NA,NA
Income quintile 2,HPIQ.SIQ2014,2008Q2,disq2,1.4,Non-alcoholic beverages,Soft drinks,subgroup,864,NA,NA
Income quintile 3,HPIQ.SIQ3014,2008Q2,disq3,1.4,Non-alcoholic beverages,Soft drinks,subgroup,861,NA,NA
Income quintile 4,HPIQ.SIQ4014,2008Q2,disq4,1.4,Non-alcoholic beverages,Soft drinks,subgroup,856,NA,NA
Income quintile 5 (high),HPIQ.SIQ5014,2008Q2,disq5,1.4,Non-alcoholic beverages,Soft drinks,subgroup,854,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1014,2008Q2,expq1,1.4,Non-alcoholic beverages,Soft drinks,subgroup,862,NA,NA
Expenditure quintile 2,HPIQ.SEQ2014,2008Q2,expq2,1.4,Non-alcoholic beverages,Soft drinks,subgroup,859,NA,NA
Expenditure quintile 3,HPIQ.SEQ3014,2008Q2,expq3,1.4,Non-alcoholic beverages,Soft drinks,subgroup,857,NA,NA
Expenditure quintile 4,HPIQ.SEQ4014,2008Q2,expq4,1.4,Non-alcoholic beverages,Soft drinks,subgroup,860,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5014,2008Q2,expq5,1.4,Non-alcoholic beverages,Soft drinks,subgroup,860,NA,NA
Maori,HPIQ.SMAO014,2008Q2,maori,1.4,Non-alcoholic beverages,Soft drinks,subgroup,864,NA,NA
Superannuitant,HPIQ.SSUP014,2008Q2,super,1.4,Non-alcoholic beverages,Soft drinks,subgroup,855,NA,NA
All households,HPIQ.SALL015,2008Q2,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,855,NA,NA
Beneficiary,HPIQ.SBEN015,2008Q2,benef,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,856,NA,NA
Income quintile 1 (low),HPIQ.SIQ1015,2008Q2,disq1,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,850,NA,NA
Income quintile 2,HPIQ.SIQ2015,2008Q2,disq2,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,855,NA,NA
Income quintile 3,HPIQ.SIQ3015,2008Q2,disq3,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,856,NA,NA
Income quintile 4,HPIQ.SIQ4015,2008Q2,disq4,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,854,NA,NA
Income quintile 5 (high),HPIQ.SIQ5015,2008Q2,disq5,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,857,NA,NA
Expenditure quintile 1 (low),HPIQ.SEQ1015,2008Q2,expq1,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,852,NA,NA
Expenditure quintile 2,HPIQ.SEQ2015,2008Q2,expq2,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,852,NA,NA
Expenditure quintile 3,HPIQ.SEQ3015,2008Q2,expq3,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,853,NA,NA
Expenditure quintile 4,HPIQ.SEQ4015,2008Q2,expq4,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,857,NA,NA
Expenditure quintile 5 (high),HPIQ.SEQ5015,2008Q2,expq5,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,858,NA,NA
Maori,HPIQ.SMAO015,2008Q2,maori,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,860,NA,NA
Superannuitant,HPIQ.SSUP015,2008Q2,super,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,841,NA,NA
All households,HPIQ.SALL02,2008Q2,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,738,NA,NA
Beneficiary,HPIQ.SBEN02,2008Q2,benef,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,621,NA,NA
